id,createdDate,modifiedDate,latitude,longitude,gymAddress,gymName
134,2025-08-10T20:06:43.197029,2025-08-10T20:06:43.197029,37.488092406946,127.031755273058,서울특별시 서초구 강남대로 279", 지하1층 (서초동),뱅뱅사거리점 스포애니 (주)케이디헬스케어
135,2025-08-10T20:06:43.199682,2025-08-10T20:06:43.199682,37.4819733575407,126.982303692025,서울특별시 서초구 동작대로 62", 용진빌딩 3층 (방배동),아유짐
136,2025-08-10T20:06:43.202326,2025-08-10T20:06:43.202326,37.4853400090711,127.019216390281,서울특별시 서초구 효령로68길 104", 지하1층 (서초동),버터짐
137,2025-08-10T20:06:43.205092,2025-08-10T20:06:43.205092,37.5027112533189,127.021761944037,서울특별시 서초구 서운로 220", 대지스포츠플라자 2층 (서초동),비바라짐 (신논현)
138,2025-08-10T20:06:43.206671,2025-08-10T20:06:43.206671,37.4765227590627,127.001243822693,서울특별시 서초구 방배로 16", 주심빌딩 4층 (방배동),바디워크
139,2025-08-10T20:06:43.208252,2025-08-10T20:06:43.208252,37.4837407273475,127.008320461436,서울특별시 서초구 효령로 221", 3층 (서초동),썸머짐
140,2025-08-10T20:06:43.209898,2025-08-10T20:06:43.209898,37.4920207116979,127.009620980568,서울특별시 서초구 서초대로 254", 오퓨런스 지하3층 (서초동),주식회사 영자피트니스 서초
141,2025-08-10T20:06:43.212447,2025-08-10T20:06:43.212447,37.4841709208004,127.036819750448,서울특별시 서초구 남부순환로350길 19-26", 도담빌딩 지하1층 (양재동),피트니스 타임
142,2025-08-10T20:06:43.214688,2025-08-10T20:06:43.214688,37.5010538834495,127.011216725546,서울특별시 서초구 서초중앙로33길 7", 2층 (반포동),라비아 피트니스
143,2025-08-10T20:06:43.216459,2025-08-10T20:06:43.216459,37.4973504144781,127.013538045649,서울특별시 서초구 서초중앙로 188", 상가동 L층 134호 (서초동", 아크로비스타),썬더짐
144,2025-08-10T20:06:43.218147,2025-08-10T20:06:43.218147,37.5152673868699,127.016133597337,서울특별시 서초구 강남대로109길 102", 잠원빌딩 5층 (잠원동),피트니스 프렌즈
145,2025-08-10T20:06:45.431644,2025-08-10T20:06:45.431644,37.4980128317622,126.996311340479,서울특별시 서초구 서래로5길 34", 2층 (반포동),발할라짐
146,2025-08-10T20:06:45.433941,2025-08-10T20:06:45.433941,37.5040068343972,127.021127174838,서울특별시 서초구 강남대로79길 59", 새로나 빌딩 지하2층 (반포동),트레이닝 캠프
147,2025-08-10T20:06:45.437244,2025-08-10T20:06:45.437244,37.4915573375838,127.029970916611,서울특별시 서초구 강남대로 321", 지하1층 104호 (서초동", 서초동대우디오빌프라임),바디 아티스트
148,2025-08-10T20:06:45.439913,2025-08-10T20:06:45.439913,37.4866756094863,127.015948005292,서울특별시 서초구 서초중앙로8길 7", 2층 (서초동),라곰(LAGOM)
149,2025-08-10T20:06:45.442052,2025-08-10T20:06:45.442052,37.4840374779202,126.982912515477,서울특별시 서초구 방배천로20길 1", 5층 (방배동),빌더바디(Build The Body)
150,2025-08-10T20:06:45.443798,2025-08-10T20:06:45.443798,37.4935086692983,126.986182888306,서울특별시 서초구 방배중앙로 161", 2층 (방배동),바디메뉴얼
151,2025-08-10T20:06:45.444882,2025-08-10T20:06:45.444882,37.5097142441813,127.01959848253,서울특별시 서초구 신반포로 326-16", 2층 (반포동),파란헬스살롱
152,2025-08-10T20:06:45.445955,2025-08-10T20:06:45.445955,37.48417111057,127.014273308255,서울특별시 서초구 반포대로10길 45", 지하1층 (서초동),아몬드짐
153,2025-08-10T20:06:45.458528,2025-08-10T20:06:45.458528,37.4977144170726,126.985664065684,서울특별시 서초구 사평대로2길 22", 2층 (방배동),듀오핏
154,2025-08-10T20:06:45.461709,2025-08-10T20:06:45.461709,37.494848257123,127.018624694157,서울특별시 서초구 서초대로 338", 프로비스타 지하2층 (서초동),웨이브휘트니스
155,2025-08-10T20:06:45.463842,2025-08-10T20:06:45.463842,37.487705960425,127.008522167735,서울특별시 서초구 반포대로21길 23", 세진빌딩 지하1층 (서초동),핏그라운드
156,2025-08-10T20:06:45.465430,2025-08-10T20:06:45.465430,37.4855360426104,127.030825791222,서울특별시 서초구 서운로6길 26", 지훈빌딩 지하1층 (서초동),프로젝트핏
157,2025-08-10T20:06:45.466993,2025-08-10T20:06:45.466993,37.4778879666261,127.039180335385,서울특별시 서초구 강남대로 148", 상록빌딩 지하2층 (양재동),(주)올리바컴퍼니
